更新时间: 2026-04-22 20:54:10（北京时间）

更新时间,#genre#
2026-04-22 20:54:10,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
新疆卫视,http://183.151.27.188:4022/rtp/233.50.202.46:5140$浙江电信
新疆卫视,http://220.192.130.71:8002/rtp/225.0.4.60:7980$重庆市联通
西藏卫视,http://27.11.252.52:8002/rtp/225.0.4.67:7980$重庆市联通
西藏卫视,http://223.10.214.111:6000/rtp/239.1.1.57:8057$山西电信
西藏卫视,http://183.151.27.188:4022/rtp/233.50.202.43:5140$浙江电信
西藏卫视,http://220.192.130.71:8002/rtp/225.0.4.67:7980$重庆市联通
三沙卫视,http://121.230.144.64:8000/rtp/239.49.0.167:8000$江苏电信
三沙卫视,http://223.10.214.111:6000/rtp/239.1.1.70:8070$山西电信
三沙卫视,http://183.151.27.188:4022/rtp/233.50.200.175:5140$浙江电信
三沙卫视,http://121.238.250.95:8800/rtp/239.49.0.167:8000$江苏电信
兵团卫视,http://27.11.252.52:8002/rtp/225.0.4.72:7980$重庆市联通
兵团卫视,http://223.10.214.111:6000/rtp/239.1.1.58:8058$山西电信
兵团卫视,http://183.151.27.188:4022/rtp/233.50.202.44:5140$浙江电信
兵团卫视,http://220.192.130.71:8002/rtp/225.0.4.72:7980$重庆市联通
